candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
874,false,-1,12.00,120,9392,6290,0,10,7,7,1,cell-a-001|cell-c-001|cell-f-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,38225,14,1193204,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-f-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=A;strong=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001]|[cell-a-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001]|[cell-a-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
875,false,-1,10.60,106,7188,1941,0,13,3,11,2,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-11519,14,1284330,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=A,E;strong=[cell-b-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-e-001]|[cell-i-003]|[red-myco-002];weak=[cell-b-001,cell-d-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-e-001]|[cell-i-003]|[red-myco-002]"
876,false,-1,11.90,119,7426,2910,0,14,5,9,2,cell-a-001|cell-b-001|cell-d-001|cell-e-001|cell-f-001|cell-i-001|cell-i-002|cell-i-003|red-myco-002,1018,14,1330653,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-002;missingResources=A,D;strong=[cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-d-001]|[cell-i-001]|[cell-i-003]|[red-myco-002];weak=[cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-d-001]|[cell-i-001]|[cell-i-003]|[red-myco-002]"
877,false,-1,15.60,156,11615,5467,0,14,9,5,1,cell-a-001|cell-f-001|cell-i-001|cell-i-002|cell-i-003,32646,14,1397723,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003;missingResources=A;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
878,false,-1,7.30,73,5002,0,0,11,1,13,5,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-37555,14,1005063,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=A,C,D,F,H;strong=[cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-002];weak=[cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-002]"
879,false,-1,10.10,101,4754,1948,0,12,3,11,4,cell-a-001|cell-b-001|cell-d-001|cell-e-001|cell-f-001|cell-g-001|cell-i-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,-11447,14,1192905,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=A,D,F,I;strong=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-d-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-d-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
880,false,-1,9.00,90,3520,126,0,13,0,14,6,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-001|red-myco-002,-34227,14,1147391,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,D,E,F,H,I;strong=[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-g-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-a-001]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-g-001]|[cell-i-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
881,false,-1,14.40,144,8663,4403,0,14,5,9,0,cell-a-001|cell-b-001|cell-e-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,19857,14,1420482,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
882,false,-1,6.50,65,3969,0,0,11,1,13,5,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-37556,14,1075660,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=A,C,D,F,H;strong=[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-002];weak=[cell-b-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001,red-myco-001]|[cell-a-001]|[cell-c-001]|[cell-d-001]|[cell-f-001]|[cell-h-001]|[cell-i-001]|[cell-i-003]|[red-myco-002]"
883,false,-1,9.70,97,6392,2548,0,11,4,10,1,cell-a-001|cell-b-001|cell-d-001|cell-e-001|cell-g-001|cell-i-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,-5162,14,1060024,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=D;strong=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001]|[cell-d-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001]|[cell-d-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
